Name,Link

"Marvie, Martin",https://web.archive.org/web/20121010195919/http://www.nga.gov/cgi-bin/tsearch?artistid=4835

"Marville, Charles",https://web.archive.org/web/20121010195919/http://www.nga.gov/cgi-bin/tsearch?artistid=16473

"Marvin, Al",https://web.archive.org/web/20121010195919/http://www.nga.gov/cgi-bin/tsearch?artistid=33760

"Marvye, Martin",https://web.archive.org/web/20121010195919/http://www.nga.gov/cgi-bin/tsearch?artistid=4835

"Marx, Evelyn",https://web.archive.org/web/20121010195919/http://www.nga.gov/cgi-bin/tsearch?artistid=33761

"Marx, Robert Ernst",https://web.archive.org/web/20121010195919/http://www.nga.gov/cgi-bin/tsearch?artistid=4836

Maryan,https://web.archive.org/web/20121010195919/http://www.nga.gov/cgi-bin/tsearch?artistid=5793

"Mas y Fondevila, Arcadio",https://web.archive.org/web/20121010195919/http://www.nga.gov/cgi-bin/tsearch?artistid=5883

Masaccio,https://web.archive.org/web/20121010195919/http://www.nga.gov/cgi-bin/tsearch?artistid=1688

Masatoshi,https://web.archive.org/web/20121010195919/http://www.nga.gov/cgi-bin/tsearch?artistid=6543

"Mascagni, Donato",https://web.archive.org/web/20121010195919/http://www.nga.gov/cgi-bin/tsearch?artistid=5949

"Mascagni, Fra Arsenio",https://web.archive.org/web/20121010195919/http://www.nga.gov/cgi-bin/tsearch?artistid=5949

"Masek, Karel Vitezslav",https://web.archive.org/web/20121010195919/http://www.nga.gov/cgi-bin/tsearch?artistid=17291

"Masereel, Frans",https://web.archive.org/web/20121010195919/http://www.nga.gov/cgi-bin/tsearch?artistid=4837

"Masik, B.",https://web.archive.org/web/20121010195919/http://www.nga.gov/cgi-bin/tsearch?artistid=4838

"Masini, Pietro",https://web.archive.org/web/20121010195919/http://www.nga.gov/cgi-bin/tsearch?artistid=21122

Masolino da Panicale,https://web.archive.org/web/20121010195919/http://www.nga.gov/cgi-bin/tsearch?artistid=1689

